Event	ID	Name			Wwise Object Path	Notes
	1461033	Play_2d_pv095_3D_BossDead			\Default Work Unit\VOICE_3D\Boss_Dead\Play_2d_pv095_3D_BossDead	
	1896462	Play_2d_pv018_3D_Resurrect			\Default Work Unit\VOICE_3D\Resurrect\Play_2d_pv018_3D_Resurrect	
	2145305	Play_BR_Koori			\Default Work Unit\SE\SKILL\Play_BR_Koori	
	10950995	Play_2d_pv108_3D_EnemyDead			\Default Work Unit\VOICE_3D\EN_Dead\Play_2d_pv108_3D_EnemyDead	
	12355461	Play_2d_pv139_3D_Dead			\Default Work Unit\VOICE_3D\Dead\Play_2d_pv139_3D_Dead	
	14582881	Play_SE_SYS_STONE_REMOVE			\Default Work Unit\SE\SYS\Play_SE_SYS_STONE_REMOVE	
	17926012	Play_2d_pv010_3D_BossDead			\Default Work Unit\VOICE_3D\Boss_Dead\Play_2d_pv010_3D_BossDead	
	18787892	Play_SP_Doku_Tokeru			\Default Work Unit\SE\SKILL\Play_SP_Doku_Tokeru	
	20782862	Play_SP_Hikou_Oikaze			\Default Work Unit\SE\SKILL\Play_SP_Hikou_Oikaze	
	22879085	Play_2d_pv030_3D_Dead			\Default Work Unit\VOICE_3D\Dead\Play_2d_pv030_3D_Dead	
	31004393	Play_2d_pv129_3D_Resurrect			\Default Work Unit\VOICE_3D\Resurrect\Play_2d_pv129_3D_Resurrect	
	44733461	Play_2d_pv073_3D_BossDead			\Default Work Unit\VOICE_3D\Boss_Dead\Play_2d_pv073_3D_BossDead	
	45140167	Play_2d_pv119_3D_Dead			\Default Work Unit\VOICE_3D\Dead\Play_2d_pv119_3D_Dead	
	48017805	Play_2d_pv077_3D			\Default Work Unit\VOICE_3D\Normal\Play_2d_pv077_3D	
	49616337	Play_SP_Iwa_Gansekihuuzi			\Default Work Unit\SE\SKILL\Play_SP_Iwa_Gansekihuuzi	
	53707580	Play_2d_pv001_3D			\Default Work Unit\VOICE_3D\Normal\Play_2d_pv001_3D	
	71775758	Play_SE_SYS_PSTONE_RECYCLE			\Default Work Unit\SE\SYS\Play_SE_SYS_PSTONE_RECYCLE	
	73075083	Play_2d_pv112_3D			\Default Work Unit\VOICE_3D\Normal\Play_2d_pv112_3D	
	76377059	Play_2d_pv088_3D_Resurrect			\Default Work Unit\VOICE_3D\Resurrect\Play_2d_pv088_3D_Resurrect	
	79746641	Play_2d_pv099_3D			\Default Work Unit\VOICE_3D\Normal\Play_2d_pv099_3D	
	81132857	Play_BGM_Stage_Clear			\Default Work Unit\BGM\Play_BGM_Stage_Clear	
	82085137	Play_SP_Dragon_Doragondaibu_Hit			\Default Work Unit\SE\SKILL\Play_SP_Dragon_Doragondaibu_Hit	
	83789112	Play_2d_pv052_3D_Resurrect			\Default Work Unit\VOICE_3D\Resurrect\Play_2d_pv052_3D_Resurrect	
	85654740	Play_2d_pv009_3D_Resurrect			\Default Work Unit\VOICE_3D\Resurrect\Play_2d_pv009_3D_Resurrect	
	97009515	Play_2d_pv044_3D_BossDead			\Default Work Unit\VOICE_3D\Boss_Dead\Play_2d_pv044_3D_BossDead	
	98836555	Play_2d_pv116_3D_Resurrect			\Default Work Unit\VOICE_3D\Resurrect\Play_2d_pv116_3D_Resurrect	
	103752710	Play_SE_GAME_START			\Default Work Unit\SE\SYS\Play_SE_GAME_START	
	106777143	Resume_BGM			\Default Work Unit\BGM\Resume_BGM	
	110495447	Play_2d_pv075_3D_Resurrect			\Default Work Unit\VOICE_3D\Resurrect\Play_2d_pv075_3D_Resurrect	
	113374954	Play_2d_pv067_3D_BossDead			\Default Work Unit\VOICE_3D\Boss_Dead\Play_2d_pv067_3D_BossDead	
	116217910	Play_SP_Kusa_Shibiregona_Hit			\Default Work Unit\SE\SKILL\Play_SP_Kusa_Shibiregona_Hit	
	120624442	Play_SE_SPARRING_FAIL			\Default Work Unit\SE\SPARRING\Play_SE_SPARRING_FAIL	
	122314886	Play_2d_pv055_3D_Dead			\Default Work Unit\VOICE_3D\Dead\Play_2d_pv055_3D_Dead	
	125002093	Play_SP_Hagane_Kinzokuon			\Default Work Unit\SE\SKILL\Play_SP_Hagane_Kinzokuon	
	127600714	Play_2d_pv055_3D_EnemyDead			\Default Work Unit\VOICE_3D\EN_Dead\Play_2d_pv055_3D_EnemyDead	
	131943831	Play_2d_pv139_3D_EnemyDead			\Default Work Unit\VOICE_3D\EN_Dead\Play_2d_pv139_3D_EnemyDead	
	133150065	Play_2d_pv120_3D_EnemyDead			\Default Work Unit\VOICE_3D\EN_Dead\Play_2d_pv120_3D_EnemyDead	
	137167431	Play_2d_pv013_3D			\Default Work Unit\VOICE_3D\Normal\Play_2d_pv013_3D	
	140612208	Play_2d_pv097_3D_Dead			\Default Work Unit\VOICE_3D\Dead\Play_2d_pv097_3D_Dead	
	145073682	Play_SP_Dragon_Ryuuseigun			\Default Work Unit\SE\SKILL\Play_SP_Dragon_Ryuuseigun	
	146382188	Play_SP_Koori_Turaraotosi_Hit			\Default Work Unit\SE\SKILL\Play_SP_Koori_Turaraotosi_Hit	
	159765927	Play_2d_pv104_3D_EnemyDead			\Default Work Unit\VOICE_3D\EN_Dead\Play_2d_pv104_3D_EnemyDead	
	162240628	Play_2d_pv078_3D_Resurrect			\Default Work Unit\VOICE_3D\Resurrect\Play_2d_pv078_3D_Resurrect	
	165427878	Play_2d_pv082_3D_Dead			\Default Work Unit\VOICE_3D\Dead\Play_2d_pv082_3D_Dead	
	166008097	Play_2d_pv119_3D_EnemyDead			\Default Work Unit\VOICE_3D\EN_Dead\Play_2d_pv119_3D_EnemyDead	
	171065437	Play_2d_pv049_3D_Dead			\Default Work Unit\VOICE_3D\Dead\Play_2d_pv049_3D_Dead	
	174368924	Play_2d_pv001_3D_Resurrect			\Default Work Unit\VOICE_3D\Resurrect\Play_2d_pv001_3D_Resurrect	
	174681206	Play_2d_pv110_3D_EnemyDead			\Default Work Unit\VOICE_3D\EN_Dead\Play_2d_pv110_3D_EnemyDead	
